"nomem_encr","age.11","age.21","agecat.11","agecat.21","sex","status.11","status.21","bruttoinc.11","bruttoinc.21","bruttoinc_imputed.11","bruttoinc_imputed.21","contract.11","contract.21","educ.no.dipl.11","educ.dipl.11","educ.cbs.cat.11","origin","domestic.status.11","civil.status.11","financial.satisfaction.11","inc.realestate.11","inc.house.ownership.grant.11","inc.student.grant.11","inc.student.loan.11","inc.alimony.ex.11","inc.alimony.child.11","inc.study.allowance.parents.11","inc.allowance.family.11","inc.investments.11","inc.interests.11","inc.none.11","religion.11","religion.parents","speaks.dutch","speaks.arab","speaks.berber","speaks.german","speaks.frisian","speaks.indonesian","speaks.turkish","speaks.flemish","speaks.other","ca10b078","ca10b005","ca10b006","ca10b007","ca10b008","ca10b009","tot.money.10","tot.money.cat.10","tot.val.invest.10","tot.val.invest.cat.10","tot.val.real.10","tot.val.real.cat.10","ca10b023","ca10b024","ca10b054","ca10b055","ca10b056","cs11d070","cs11d079","cs11d102","cs11d103","cs11d105","cs11d294","cs11d295","cs11d296","cs11d297","cs11d298","cs11d305","cs11d306","cs11d307","cs11d308","cs11d309","cs11d310","cs11d311","cs11d312","cs11d313","cs11d314","cs11d321","cs11d332","cs11d343","cs11d354","cs11d365","cs11d326","cs11d337","cs11d348","cs11d359","cs11d370","overall.health.10","height.10","weight.10","ch10d018","ch10d081","ch10d085","ch10d099","happiness.11","life.satisfaction.11","cp11d014","cp11d015","cp11d016","cp11d017","cp11d018","social.trust.11","cp11d020","cp11d021","cp11d022","cp11d023","cp11d024","cp11d025","cp11d026","cp11d027","cp11d028","cp11d029","cp11d030","cp11d031","cp11d032","cp11d033","cp11d034","cp11d035","cp11d036","cp11d037","cp11d038","cp11d039","cp11d098","gov.satisfaction.11","interest.news.11","interest.politics.11","cv11d030","cv11d031","cv11d032","cv11d033","cv11d034","cv11d035","cv11d036","cv11d037","cv11d038","cv11d039","cv11d040","cv11d041","cv11d042","cv11d043","cv11d044","cv11d045","cv11d046","cv11d047","cv11d048","cv11d049","cv11d050","cv11d051","cv11d052","cv11d053","last.vote.11","vote.today.11","cv11d173","cv11d174","cv11d175","cv11d176","cv11d177","cv11d178","cv11d179","cv11d180","cv11d181","cv11d182","status.contract.11","status.contract.21"
800762,40,50,"35 - 44","45 - 54",2,"employed","employed",1600,1600,1600,1600,"employee in permanent employment","employee in permanent employment",5,5,5,0,3,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,10000,NA,28000,NA,NA,NA,1000,NA,2,NA,NA,2,NA,3,2,NA,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,6,7,NA,NA,NA,4,176,75,2,0,0,1,8,8,6,6,6,7,6,8,3,1,3,2,3,4,4,1,4,3,4,1,3,3,3,4,4,1,5,3,2,2,2,2,1,1,5,7,0,0,0,999,2,6,8,8,999,999,999,8,8,1,1,1,1,1,2,1,1,999,4,1,0,0,2,4,2,3,0,0,"employed.permanent","employed.permanent"
800848,24,34,"15-24","25-34",1,"school or other","employed",-13,-13,NA,NA,"employee in permanent employment","employee in permanent employment",5,2,2,0,3,5,7,0,0,0,0,0,0,0,0,0,1,0,NA,NA,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,99999999998,NA,5000,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,3,NA,1,1,1,1,0,1,2,2,NA,2,2,NA,2,NA,NA,2,2,9,6,NA,3,3,5,8,NA,4,182,67,2,0,0,1,6,6,5,5,5,5,5,5,4,2,4,2,3,3,4,2,4,2,4,2,4,3,3,3,3,2,4,2,3,3,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,1,2,2,2,NA,999,5,5,5,5,5,5,5,5,5,5,NA,"employed.permanent"
800869,55,66,"55 - 64",">=65",1,"employed","retired",-13,-13,NA,NA,"employee in permanent employment",NA,2,2,2,0,3,1,8,0,0,0,0,0,0,0,0,0,0,1,1,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,99999999998,NA,NA,NA,NA,NA,9999999998,NA,2,NA,NA,2,NA,1,3,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,3,3,6,3,3,3,181,99,2,0,0,1,8,8,5,6,6,5,5,3,2,3,4,4,4,2,4,2,3,3,4,2,3,4,2,3,4,2,2,4,2,2,2,2,4,4,4,5,4,4,4,4,6,5,6,6,5,6,6,6,6,1,1,1,2,1,2,1,4,999,2,4,0,4,4,5,4,1,1,0,"employed.permanent","retired"
800894,62,73,"55 - 64",">=65",2,"inactive","retired",890,1200,890,1200,NA,NA,2,2,2,102,1,4,6,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,3,NA,1,1,1,1,1,2,4,4,4,3,4,4,1,4,4,9,4,8,10,5,3,3,4,6,3,3,154,60,2,0,0,2,6,5,4,6,6,6,6,999,2,3,4,4,3,4,4,3,3,4,4,2,3,4,4,3,4,3,3,3,3,3,2,2,7,7,7,6,7,7,7,7,6,6,6,7,7,6,6,7,5,2,1,1,2,2,1,2,NA,4,999,5,4,6,999,999,6,999,999,999,"inactive","retired"
800903,39,50,"35 - 44","45 - 54",1,"employed","employed",3650,4590,3650,4590,"employee in permanent employment","employee in permanent employment",5,5,5,0,3,1,5,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,99999999998,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,3,1,3,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,8,NA,NA,NA,NA,3,185,85,2,0,0,1,7,7,3,5,5,5,4,3,3,3,2,1,4,4,4,3,3,2,3,1,3,4,3,4,2,2,4,3,2,2,2,2,6,5,5,5,6,5,3,6,6,7,7,2,6,5,4,6,8,1,1,1,1,1,2,1,1,999,7,6,7,5,4,6,5,4,4,5,"employed.permanent","employed.permanent"
800909,32,43,"25-34","35 - 44",2,"employed","employed",1855,2475,1855,2475,"employee in permanent employment","employee in temporary employment",5,5,5,0,3,1,8,0,0,0,0,0,0,0,0,1,1,0,1,NA,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,99999999998,NA,99999999998,NA,NA,NA,9999999999,5,2,NA,NA,2,NA,2,4,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,5,6,6,6,5,8,4,2,2,2,5,2,5,4,3,3,4,1,2,3,2,3,4,1,2,3,2,3,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,1,1,2,1,7,999,1,4,0,2,4,7,8,2,0,3,"employed.permanent","employed.temporary"
800918,56,67,"55 - 64",">=65",2,"employed","inactive",675,-13,675,1023.6016321926,"employee in permanent employment",NA,2,2,2,0,2,1,6,0,0,0,0,0,0,0,0,0,0,1,1,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,99999999998,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,0,2,3,NA,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,1,9,9,4,2,5,3,4,5,2,158,78,1,0,0,5,7,7,4,3,5,5,5,4,4,1,4,3,4,3,4,2,3,2,4,2,4,4,4,3,4,2,2,3,2,2,2,2,4,4,3,3,3,3,2,4,2,7,6,7,7,5,5,5,4,1,1,1,2,2,1,1,4,6,6,2,6,7,2,3,3,2,2,2,"employed.permanent","inactive"
800994,60,70,"55 - 64",">=65",1,"unemployed","retired",-13,-13,1573.88820345907,2399.15237840235,NA,NA,4,4,4,0,1,3,9,0,0,0,0,0,0,0,0,0,0,1,6,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,99999999998,NA,NA,NA,NA,NA,9999999998,NA,2,NA,NA,2,NA,1,1,3,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,3,178,73,2,0,0,1,9,9,6,6,7,6,6,4,4,2,4,1,5,2,4,1,4,3,4,1,4,4,4,2,4,2,5,3,2,3,2,2,5,5,4,4,4,3,2,3,1,5,6,6,6,5,4,6,5,1,1,1,2,2,1,1,1,3,7,4,5,6,3,3,3,5,5,1,"unemployed","retired"
801031,38,49,"35 - 44","45 - 54",1,"employed","employed",-13,-13,3440.19945747957,5782.02352430825,"employee in permanent employment","employee in permanent employment",4,4,4,0,3,1,7,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,99999999998,NA,NA,NA,NA,NA,15000,NA,2,NA,NA,2,NA,3,5,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,5,NA,NA,NA,NA,1,191,94,1,0,0,1,7,8,6,4,5,6,6,5,4,3,3,2,4,2,4,3,4,2,4,2,4,4,2,3,2,2,2,3,4,4,2,2,6,6,6,7,6,6,6,6,8,8,8,8,7,6,6,8,9,1,1,1,2,1,1,2,NA,999,5,6,6,7,6,6,7,7,7,999,"employed.permanent","employed.permanent"
801068,34,45,"25-34","45 - 54",2,"employed","employed",-13,-13,1709.71279861099,1703.30864285546,"employee in permanent employment","employee in permanent employment",5,5,5,0,3,1,6,0,0,0,0,0,0,0,0,0,0,1,1,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,99999999998,NA,NA,NA,NA,NA,9999999998,NA,2,NA,NA,2,NA,2,1,NA,1,1,1,1,1,2,2,2,2,2,4,2,3,4,4,1,8,9,9,9,3,3,3,6,3,3,180,74,2,0,0,1,7,7,5,6,6,6,5,7,3,2,5,1,5,2,3,2,4,1,4,1,4,5,3,2,3,1,4,1,1,4,3,3,6,6,6,6,6,6,6,6,6,6,8,8,6,6,6,6,6,1,1,1,2,2,2,1,6,9,6,6,1,6,6,8,8,6,999,6,"employed.permanent","employed.permanent"
